"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0","127.0.0.1","127.0.0.1","TCP","74","43212  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=117232840 TSecr=0 WS=128"
"2","0","127.0.0.1","127.0.0.1","TCP","74","8080  >  43212 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=117232840 TSecr=117232840 WS=128"
"3","0","127.0.0.1","127.0.0.1","TCP","66","43212  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=117232840 TSecr=117232840"
"4","0","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=80 TSval=117232840 TSecr=117232840 [TCP segment of a reassembled PDU]"
"5","0","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=81 Win=65408 Len=0 TSval=117232840 TSecr=117232840"
"6","1","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=81 Ack=1 Win=65536 Len=80 TSval=117233842 TSecr=117232840 [TCP segment of a reassembled PDU]"
"7","1","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=161 Win=65408 Len=0 TSval=117233842 TSecr=117233842"
"8","2","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=161 Ack=1 Win=65536 Len=80 TSval=117234842 TSecr=117233842 [TCP segment of a reassembled PDU]"
"9","2","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=241 Win=65408 Len=0 TSval=117234842 TSecr=117234842"
"10","3","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=241 Ack=1 Win=65536 Len=80 TSval=117235842 TSecr=117234842 [TCP segment of a reassembled PDU]"
"11","3","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=321 Win=65408 Len=0 TSval=117235842 TSecr=117235842"
"12","4","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=321 Ack=1 Win=65536 Len=80 TSval=117236843 TSecr=117235842 [TCP segment of a reassembled PDU]"
"13","4","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=401 Win=65408 Len=0 TSval=117236843 TSecr=117236843"
"14","5","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=401 Ack=1 Win=65536 Len=80 TSval=117237844 TSecr=117236843 [TCP segment of a reassembled PDU]"
"15","5","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=481 Win=65408 Len=0 TSval=117237844 TSecr=117237844"
"16","6","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=481 Ack=1 Win=65536 Len=80 TSval=117238844 TSecr=117237844 [TCP segment of a reassembled PDU]"
"17","6","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=561 Win=65408 Len=0 TSval=117238844 TSecr=117238844"
"18","7","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=561 Ack=1 Win=65536 Len=80 TSval=117239848 TSecr=117238844 [TCP segment of a reassembled PDU]"
"19","7","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=641 Win=65408 Len=0 TSval=117239848 TSecr=117239848"
"20","8","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=641 Ack=1 Win=65536 Len=80 TSval=117240849 TSecr=117239848 [TCP segment of a reassembled PDU]"
"21","8","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=721 Win=65408 Len=0 TSval=117240849 TSecr=117240849"
"22","9","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=721 Ack=1 Win=65536 Len=80 TSval=117241850 TSecr=117240849 [TCP segment of a reassembled PDU]"
"23","9","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=801 Win=65408 Len=0 TSval=117241850 TSecr=117241850"
"24","10","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=801 Ack=1 Win=65536 Len=80 TSval=117242850 TSecr=117241850 [TCP segment of a reassembled PDU]"
